2025-06-19 13:04:25.129: [INFO] VisibilityChanged: 0
2025-06-19 13:04:25.205: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2025-06-19 13:04:25.206: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2025-06-19 13:04:25.208: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2025-06-19 13:04:25.210: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2025-06-19 13:04:25.212: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2025-06-19 13:04:25.214: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2025-06-19 13:04:25.217: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2025-06-19 13:04:25.219: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2025-06-19 13:04:25.221: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2025-06-19 13:04:25.223: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2025-06-19 13:04:25.225: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2025-06-19 13:04:25.239: [INFO] BookmarkModelLoaded, ids_reassigned: 0
2025-06-19 13:04:25.239: [INFO] OnDoneLoading sync enabled: 0
2025-06-19 13:04:25.362: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2025-06-19 13:04:26.725: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 3
2025-06-19 13:04:26.732: [INFO] Primary account changed.
2025-06-19 13:04:26.732: [INFO] OnPrimaryAccountChanged PrimaryAccountChangeEvent::Type::kSet
2025-06-19 13:04:26.735: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 3
2025-06-19 13:04:33.758: [INFO] BookmarkNodeAdded, ABU: 0
2025-06-19 13:04:33.759: [INFO] BookmarkNodeAdded, ABU: 0
2025-06-19 13:04:33.759: [INFO] BookmarkNodeAdded, ABU: 0
2025-06-19 13:04:33.759: [INFO] BookmarkNodeAdded, ABU: 0
2025-06-19 13:04:33.759: [INFO] BookmarkNodeAdded, ABU: 0
2025-06-19 13:04:33.759: [INFO] BookmarkNodeAdded, ABU: 0
2025-06-19 13:04:33.760: [INFO] BookmarkNodeAdded, ABU: 0
2025-06-19 13:04:33.760: [INFO] BookmarkNodeAdded, ABU: 0
2025-06-19 13:04:33.760: [INFO] BookmarkNodeAdded, ABU: 0
2025-06-19 13:04:33.760: [INFO] BookmarkNodeAdded, ABU: 0
2025-06-19 13:04:33.760: [INFO] BookmarkNodeAdded, ABU: 0
2025-06-19 13:04:33.760: [INFO] BookmarkNodeAdded, ABU: 0
2025-06-19 13:04:33.760: [INFO] BookmarkNodeAdded, ABU: 0
2025-06-19 13:04:33.761: [INFO] BookmarkNodeAdded, ABU: 0
2025-06-19 13:04:33.761: [INFO] BookmarkNodeAdded, ABU: 0
2025-06-19 13:04:33.761: [INFO] BookmarkNodeAdded, ABU: 0
2025-06-19 13:04:33.761: [INFO] BookmarkNodeAdded, ABU: 0
2025-06-19 13:04:33.761: [INFO] BookmarkNodeAdded, ABU: 0
2025-06-19 13:04:33.761: [INFO] BookmarkNodeAdded, ABU: 0
2025-06-19 13:04:33.761: [INFO] BookmarkNodeAdded, ABU: 0
2025-06-19 13:04:33.762: [INFO] BookmarkNodeAdded, ABU: 0
2025-06-19 13:04:33.762: [INFO] BookmarkNodeAdded, ABU: 0
2025-06-19 13:04:33.762: [INFO] BookmarkNodeAdded, ABU: 0
2025-06-19 13:04:33.762: [INFO] BookmarkNodeAdded, ABU: 0
2025-06-19 13:04:33.762: [INFO] BookmarkNodeAdded, ABU: 0
2025-06-19 13:04:33.762: [INFO] BookmarkNodeAdded, ABU: 0
2025-06-19 13:04:34.285: [INFO] Sync initialization duration: 6878ms
